"ID_ENTITY","year","vals","lon","lat"
"1",100,0,-0.5,31.5
"1",1000,5.54067944486936,-0.5,31.5
"1",2000,-4.91026409963767,-0.5,31.5
"1",3000,0.884538178642591,-0.5,31.5
"1",4000,6.11011036237081,-0.5,31.5
"1",5000,1.94676144917806,-0.5,31.5
"1",6000,-5.78290836016337,-0.5,31.5
"1",7000,-5.49362916747729,-0.5,31.5
"1",8000,-5.78290836016337,-0.5,31.5
"1",9000,-5.78290836016337,-0.5,31.5
"1",10000,-5.78290836016337,-0.5,31.5
"1",11000,2.84262164433797,-0.5,31.5
"1",12000,-5.78290836016337,-0.5,31.5
"10",100,0,-0.5,40.5
"10",1000,7.38719542821248,-0.5,40.5
"10",2000,5.81637986501058,-0.5,40.5
"10",3000,14.5925601323446,-0.5,40.5
"10",4000,24.2916558583577,-0.5,40.5
"10",5000,20.8411343892415,-0.5,40.5
"10",6000,21.1657250722249,-0.5,40.5
"10",7000,25.9000476201375,-0.5,40.5
"10",8000,28.6012051900228,-0.5,40.5
"10",9000,34.5901883443197,-0.5,40.5
"10",10000,30.0134766896566,-0.5,40.5
"10",11000,14.7945216496785,-0.5,40.5
"10",12000,-10.2780448595683,-0.5,40.5
"100",100,0,-3.5,29.5
"100",1000,1.33963712056478,-3.5,29.5
"100",2000,-1.79030511776606,-3.5,29.5
"100",3000,-0.323961536089579,-3.5,29.5
"100",4000,2.04024787743886,-3.5,29.5
"100",5000,-0.432984794179598,-3.5,29.5
"100",6000,-2.36309973398844,-3.5,29.5
"100",7000,-1.16037772099177,-3.5,29.5
"100",8000,-2.36309973398844,-3.5,29.5
"100",9000,-2.36309973398844,-3.5,29.5
"100",10000,-2.36309973398844,-3.5,29.5
"100",11000,5.05825646718343,-3.5,29.5
"100",12000,-2.36309973398844,-3.5,29.5
"1000",100,0,29.5,37.5
"1000",1000,5.15075556437175,29.5,37.5
"1000",2000,-2.90529664357503,29.5,37.5
"1000",3000,4.92382160822551,29.5,37.5
"1000",4000,3.97365156809489,29.5,37.5
"1000",5000,-1.49135335286458,29.5,37.5
"1000",6000,-2.23387368520101,29.5,37.5
"1000",7000,-15.3194075425466,29.5,37.5
"1000",8000,-13.1976486047109,29.5,37.5
"1000",9000,1.42563358942668,29.5,37.5
"1000",10000,-6.16432174046834,29.5,37.5
"1000",11000,-23.3419758876165,29.5,37.5
"1000",12000,-20.5168927510579,29.5,37.5
"1001",100,0,29.5,38.5
"1001",1000,7.27981980641683,29.5,38.5
"1001",2000,0.000222524007160274,29.5,38.5
"1001",3000,6.06861623128255,29.5,38.5
"1001",4000,5.07164128621419,29.5,38.5
"1001",5000,2.02150948842366,29.5,38.5
"1001",6000,1.70929988225301,29.5,38.5
"1001",7000,-8.28093449274699,29.5,38.5
"1001",8000,-6.32935587565104,29.5,38.5
"1001",9000,6.99837287267049,29.5,38.5
"1001",10000,0.951358636220295,29.5,38.5
"1001",11000,-18.3114548126856,29.5,38.5
"1001",12000,-22.7185330788294,29.5,38.5
"1002",100,0,29.5,39.5
"1002",1000,7.9307861328125,29.5,39.5
"1002",2000,0.141625881195068,29.5,39.5
"1002",3000,6.28047561645508,29.5,39.5
"1002",4000,5.53661632537842,29.5,39.5
"1002",5000,1.99339389801025,29.5,39.5
"1002",6000,1.70023584365845,29.5,39.5
"1002",7000,-6.08828258514404,29.5,39.5
"1002",8000,-3.6805214881897,29.5,39.5
"1002",9000,8.09618091583252,29.5,39.5
"1002",10000,0.339277744293213,29.5,39.5
"1002",11000,-19.3552911281586,29.5,39.5
"1002",12000,-23.116349697113,29.5,39.5
"1003",100,0,29.5,40.5
"1003",1000,1.14197667439779,29.5,40.5
"1003",2000,3.34410985310872,29.5,40.5
"1003",3000,1.79850133260091,29.5,40.5
"1003",4000,3.91058619817098,29.5,40.5
"1003",5000,6.66657098134359,29.5,40.5
"1003",6000,10.153774579366,29.5,40.5
"1003",7000,-1.07085339228312,29.5,40.5
"1003",8000,1.670228322347,29.5,40.5
"1003",9000,9.4459908803304,29.5,40.5
"1003",10000,-5.20148227612178,29.5,40.5
"1003",11000,-6.25053803126017,29.5,40.5
"1003",12000,-19.3645860354106,29.5,40.5
"1007",100,0,29.5,45.5
"1007",1000,7.67724418640137,29.5,45.5
"1007",2000,13.5354518890381,29.5,45.5
"1007",3000,10.6866312026978,29.5,45.5
"1007",4000,15.9885711669922,29.5,45.5
"1007",5000,19.9451847076416,29.5,45.5
"1007",6000,23.9100475311279,29.5,45.5
"1007",7000,14.8871202468872,29.5,45.5
"1007",8000,16.4513759613037,29.5,45.5
"1007",9000,18.0605907440186,29.5,45.5
"1007",10000,2.95535659790039,29.5,45.5
"1007",11000,8.52032470703125,29.5,45.5
"1007",12000,-1.89511680603027,29.5,45.5
"1008",100,0,29.5,46.5
"1008",1000,9.84506034851074,29.5,46.5
"1008",2000,12.9426698684692,29.5,46.5
"1008",3000,11.5949640274048,29.5,46.5
"1008",4000,16.6302547454834,29.5,46.5
"1008",5000,18.7543239593506,29.5,46.5
"1008",6000,22.2580060958862,29.5,46.5
"1008",7000,16.5545501708984,29.5,46.5
"1008",8000,17.136661529541,29.5,46.5
"1008",9000,16.9970808029175,29.5,46.5
"1008",10000,5.41934871673584,29.5,46.5
"1008",11000,5.28622150421143,29.5,46.5
"1008",12000,-6.29121494293213,29.5,46.5
"1009",100,0,29.5,47.5
"1009",1000,10.3111410140991,29.5,47.5
"1009",2000,13.0373649597168,29.5,47.5
"1009",3000,12.070707321167,29.5,47.5
"1009",4000,17.0780239105225,29.5,47.5
